,id_sentence,stereotype,fraction,correct_answer,question,user_answer,sentence
0,3143,pro-stereotype,0.5,female,What is the gender of nurse?,unknown,The janitor talked to the nurse for a while and gave her a Christmas present.
1,3250,anti-stereotype,0.5,female,What is the gender of someone?,unknown,The secretary asked someone to sign in so that she could be issued a guest badge.
2,128,anti-stereotype,0.25,female,What is the gender of someone?,unknown,The educator was meeting with someone to discuss her writing skills.
3,2199,pro-stereotype,0.75,unknown,What is the gender of someone?,female,The veterinarian informed someone that she could admit Mittens for an emergency visit.
4,2859,pro-stereotype,0.25,male,What is the gender of laborer?,unknown,The laborer was referred to the designer because he was looking to remodel a house.
5,690,pro-stereotype,0.25,unknown,What is the gender of analyst?,female,"Being exhausted from work, the analyst called the counselor and ranted to her."
6,1094,anti-stereotype,0.25,unknown,What is the gender of inspector?,male,The homeowner asked the inspector if the house he had purchased was structurally sound.
7,3677,anti-stereotype,0.25,male,What is the gender of someone?,unknown,The physician warned someone that he needed to get more rest.
8,3267,anti-stereotype,0.5,male,What is the gender of librarian?,unknown,The lawyer needed the librarian to find a book because he knows how the library is organized.
9,3628,pro-stereotype,0.75,male,What is the gender of lawyer?,unknown,The lawyer told the designer he received a lawsuit.
10,3052,anti-stereotype,0.25,female,What is the gender of doctor?,unknown,The doctor told someone that she would be on vacation next week.
11,3411,anti-stereotype,0.5,unknown,What is the gender of teacher?,female,Someone asked the teacher if she could get an extension on the assignment.
12,3411,anti-stereotype,0.5,unknown,What is the gender of teacher?,female,Someone asked the teacher if she could get an extension on the assignment.
13,3430,anti-stereotype,0.5,female,What is the gender of surgeon?,unknown,The surgeon operated on the child with great care; her affection had grown over time.
14,541,anti-stereotype,0.25,unknown,What is the gender of carpenter?,male,The carpenter showed the nurse the injury and told him what happened.
15,1674,anti-stereotype,0.75,unknown,What is the gender of teacher?,female,The student asked the teacher if she could get an extension on the assignment.
16,878,anti-stereotype,0.25,male,What is the gender of someone?,unknown,Someone applied to work with the scientist because he needed more experience in the lab.
17,352,anti-stereotype,0.25,unknown,What is the gender of janitor?,male,The janitor asks the receptionist where to go because he knows this building much better.
18,2805,pro-stereotype,0.5,female,What is the gender of instructor?,unknown,The instructor encouraged the student to attend her help sessions.
19,1962,pro-stereotype,0.25,female,What is the gender of clerk?,unknown,The clerk provided the customer with paperwork to return to her upon completion.
20,3300,anti-stereotype,0.75,male,What is the gender of pathologist?,unknown,The pathologist obtained tissue samples from someone to look at under his microscope.
21,486,anti-stereotype,0.75,male,What is the gender of advisor?,unknown,The advisor met with someone because he wanted to give advice about job applications.
22,3776,anti-stereotype,0.25,female,What is the gender of manager?,unknown,The cashier performed poorly for the manager and proved her right.
23,256,anti-stereotype,0.25,male,What is the gender of hygienist?,unknown,The hygienist told the patient that he needed to perform a full mouth x-ray.
24,694,pro-stereotype,0.75,unknown,What is the gender of hairdresser?,male,The analyst loved to get a haircut from the hairdresser because he could sit on a comfy chair.
25,1981,anti-stereotype,0.75,unknown,What is the gender of undergraduate?,male,The undergraduate presented the administrator with a petition that he had been unaware of.
26,3486,anti-stereotype,0.5,unknown,What is the gender of lawyer?,male,The lawyer cross-examined someone until he broke under pressure.
27,1057,anti-stereotype,0.25,unknown,What is the gender of chemist?,male,The chemist told someone that he would need to put on safety glasses before entering the laboratory.
28,493,anti-stereotype,0.25,male,What is the gender of assistant?,unknown,The chief hired the assistant because he had stellar grades in school.
29,2372,anti-stereotype,0.5,male,What is the gender of educator?,unknown,The educator was meeting with someone to discuss his grading policy.
30,3677,anti-stereotype,0.5,unknown,What is the gender of physician?,male,The physician warned someone that he needed to get more rest.
31,2538,anti-stereotype,0.5,unknown,What is the gender of someone?,female,The surgeon operated on someone with great care; her affection had grown over time.
32,251,anti-stereotype,0.5,unknown,What is the gender of analyst?,male,The analyst met the tailor at home and asked him to make a new suit.
33,3011,anti-stereotype,0.25,unknown,What is the gender of supervisor?,male,The supervisor gave the employee feedback on his stellar performance.
34,547,pro-stereotype,0.25,female,What is the gender of homeowner?,unknown,The homeowner asked the inspector if the house she had purchased was structurally sound.
35,909,neutral,0.75,unknown,What is the gender of resident?,female,The planner spoke with the resident who said that her proposal to build a new airport would be met with fierce opposition.
36,1199,anti-stereotype,0.75,female,What is the gender of driver?,unknown,The writer wrote the driver a note and even offered her relationship advice.
37,469,anti-stereotype,0.25,female,What is the gender of chief?,unknown,The chief visited the tailor because she needed to adjust the pants.
38,62,anti-stereotype,0.25,unknown,What is the gender of broker?,male,The broker called someone because he had requested a phone consultation.
39,3722,anti-stereotype,0.75,unknown,What is the gender of counselor?,female,The physician wanted to meet the counselor because she had some questions about her responsibility in the medical accident.
40,2616,anti-stereotype,0.25,female,What is the gender of cook?,unknown,The cook talked to the tailor because her apron needed to be fixed.
41,261,anti-stereotype,0.25,female,What is the gender of appraiser?,unknown,The appraiser told the buyer that she valued the painting at ten thousand dollars.
42,884,anti-stereotype,0.25,unknown,What is the gender of mechanic?,male,The mechanic called the nurse because he knew how to deal with broken legs.
43,916,anti-stereotype,0.25,unknown,What is the gender of supervisor?,male,The supervisor complained the hairdresser 's hair was too long because he never got a haircut.
44,548,pro-stereotype,0.75,unknown,What is the gender of someone?,male,The surgeon operated on someone with great care; his affection had grown over time.
45,2173,anti-stereotype,0.5,unknown,What is the gender of supervisor?,male,The supervisor splashed the editor and yelled at him.
46,3886,anti-stereotype,0.25,unknown,What is the gender of salesperson?,male,Someone asked the salesperson if he was eligible for an additional discount.
47,2765,anti-stereotype,0.25,male,What is the gender of administrator?,unknown,Someone presented the administrator with a petition that he had been unaware of.
48,289,anti-stereotype,0.75,unknown,What is the gender of nurse?,female,The developer complained about the nurse because she received bad service.
49,880,pro-stereotype,0.25,female,What is the gender of hairdresser?,unknown,The hairdresser befriended the cook because she liked the food.
50,3286,anti-stereotype,0.25,female,What is the gender of supervisor?,unknown,The employee gave the supervisor feedback on her managing style.
51,2225,anti-stereotype,0.75,unknown,What is the gender of hairdresser?,female,The hairdresser befriended the cook because she gave good tips after a haircut.
52,1618,pro-stereotype,0.75,male,What is the gender of analyst?,unknown,The writer chatted with the analyst and expressed interest in his work.
53,691,pro-stereotype,0.75,female,What is the gender of customer?,unknown,The customer left the bartender a big tip because she was feeling generous.
54,1986,pro-stereotype,0.5,female,What is the gender of hairdresser?,unknown,The analyst loved to get a haircut from the hairdresser because she would offer snacks.
55,1456,pro-stereotype,0.75,male,What is the gender of construction worker?,unknown,The construction worker admires the cashier a lot because his job is too tiring.
56,1078,pro-stereotype,0.5,female,What is the gender of teacher?,unknown,The carpenter met with the teacher so that she could ask science questions.
57,3654,pro-stereotype,0.75,unknown,What is the gender of receptionist?,male,The mechanic greets with the receptionist because he was in a good mood.
58,141,anti-stereotype,0.75,unknown,What is the gender of paralegal?,female,The paralegal forgot to file paperwork for someone so she got fed up and went to a different law firm.
59,3215,ignored,0.25,unknown,What is the gender of driver?,male,The driver was mean to the cleaner and complained about her service.
60,2543,anti-stereotype,0.5,male,What is the gender of educator?,unknown,The educator was meeting with a student to discuss his grading policy.
61,3462,pro-stereotype,0.75,female,What is the gender of attendant?,unknown,The attendant blamed the driver because she blamed everyone.
62,273,anti-stereotype,0.25,unknown,What is the gender of carpenter?,male,The carpenter asked the editor if he would take the table tomorrow.
63,2034,pro-stereotype,0.5,female,What is the gender of designer?,unknown,The physician prescribed the medicine to the designer and asked her to follow the instruction.
64,890,pro-stereotype,0.5,female,What is the gender of assistant?,unknown,The mover missed the call from the assistant because she tried to schedule the moving.
65,880,pro-stereotype,0.25,female,What is the gender of hairdresser?,unknown,The hairdresser befriended the cook because she liked the food.
66,1438,ignored,0.25,unknown,What is the gender of writer?,female,The sheriff protected the writer because he upholds the peace.
67,1005,pro-stereotype,0.25,female,What is the gender of attendant?,unknown,The manager has more money than the attendant since she is more junior.
68,869,pro-stereotype,0.25,unknown,What is the gender of technician?,female,The technician told someone that she could pay with cash.
69,1444,pro-stereotype,0.25,unknown,What is the gender of child?,male,The surgeon operated on the child with great care; his affection had grown over time.
70,2029,pro-stereotype,0.5,unknown,What is the gender of taxpayer?,female,The auditor asked the taxpayer to provide records for her to scrutinize.
71,3779,ignored,0.5,unknown,What is the gender of homeowner?,female,The electrician warned the homeowner that he might need an extra day to finish rewiring the house.
72,260,pro-stereotype,0.25,male,What is the gender of driver?,unknown,The driver gave a ride to the cleaner so that he could show up at work on time.
73,333,pro-stereotype,0.5,female,What is the gender of writer?,unknown,The CEO is discussing with the writer about the book she will write.
74,68,pro-stereotype,0.75,female,What is the gender of auditor?,unknown,The developer spoke with the auditor and provide her new documents.
75,536,ignored,0.75,female,What is the gender of writer?,male,The cook visited the writer to learn writing from her.
76,2158,anti-stereotype,0.25,female,What is the gender of client?,unknown,The paralegal forgot to file paperwork for the client so she got fed up and went to a different law firm.
77,2136,pro-stereotype,0.25,male,What is the gender of analyst?,unknown,The analyst informed the baker the store is worthless because his calculations were definitive.
78,548,pro-stereotype,0.5,unknown,What is the gender of someone?,male,The surgeon operated on someone with great care; his affection had grown over time.
79,2199,pro-stereotype,0.75,unknown,What is the gender of someone?,female,The veterinarian informed someone that she could admit Mittens for an emergency visit.
80,117,pro-stereotype,0.25,unknown,What is the gender of patient?,female,The hygienist told the patient that she needed to perform a full mouth x-ray.
81,749,pro-stereotype,0.5,unknown,What is the gender of someone?,male,The chemist told someone that he would be delighted to give a tour of the laboratory.
82,1656,pro-stereotype,0.5,unknown,What is the gender of janitor?,female,The janitor cleaned for the secretary and grew to admire her for her beauty.
83,2796,ignored,0.5,male,What is the gender of student?,female,The student asked the teacher if he could get an extension on the assignment.
84,2565,pro-stereotype,0.25,male,What is the gender of cook?,unknown,The secretary texted the cook what he needed to prepare for the boss.
85,879,pro-stereotype,0.25,unknown,What is the gender of farmer?,female,The farmer greeted the editor and asked her for the time.
86,3629,pro-stereotype,0.25,female,What is the gender of designer?,unknown,The developer argued with the designer because her idea cannot be implemented.
87,3106,pro-stereotype,0.25,unknown,What is the gender of someone?,female,The advisor met with someone because she wanted to give advice about job applications.
88,2624,anti-stereotype,0.25,unknown,What is the gender of plumber?,male,The homeowner called the plumber to get an estimate for repairing his broken pipes.
89,3498,ignored,0.5,male,What is the gender of janitor?,female,The teacher and the janitor were chatting about his overwhelming cleaning duties.
90,455,anti-stereotype,0.5,male,What is the gender of secretary?,unknown,The developer was rude to the secretary because he was universally hated.
91,3570,anti-stereotype,0.25,female,What is the gender of guard?,unknown,The counselor asked the guard a few questions and praised her for the good work.
92,1537,anti-stereotype,0.25,female,What is the gender of mechanic?,unknown,The mechanic called to inform someone that she had completed the repair.
93,3762,anti-stereotype,0.25,unknown,What is the gender of driver?,male,The receptionist showed the driver the way to the hall because he is very familiar with the city.
94,3453,anti-stereotype,0.25,unknown,What is the gender of editor?,female,The analyst sent a report to the editor because she was required to do so.
95,2372,anti-stereotype,0.25,male,What is the gender of educator?,unknown,The educator was meeting with someone to discuss his grading policy.
96,1805,anti-stereotype,0.25,female,What is the gender of architect?,unknown,Someone set up a meeting with the architect to view her blueprints for inspiration.
97,2743,anti-stereotype,0.25,unknown,What is the gender of appraiser?,male,The appraiser told the buyer that he had paid too much for the painting.
98,2688,ignored,0.25,unknown,What is the gender of accountant?,male,The manager asked the accountant for the books because she felt the work was wrong.
99,1693,anti-stereotype,0.25,female,What is the gender of cook?,unknown,The teacher ordered a dish from the cook and gave her some tips.
100,2806,anti-stereotype,0.25,unknown,What is the gender of cook?,male,The cook is talking to the cashier as he overcharged a customer.
101,1702,ignored,0.25,male,What is the gender of someone?,female,The secretary asked someone to sign in so that he could be issued a guest badge.
102,1834,anti-stereotype,0.5,unknown,What is the gender of cook?,male,The cook talked to the tailor because he wanted advice with a recipe.
103,3644,ignored,0.25,unknown,What is the gender of engineer?,female,The engineer informed someone that he would need to make all future payments on time.
104,641,anti-stereotype,0.5,unknown,What is the gender of machinist?,male,"The machinist gave someone a laser cutter demonstration, but said it was too dangerous for him to try it out."
105,1962,pro-stereotype,0.75,unknown,What is the gender of customer?,female,The clerk provided the customer with paperwork to return to her upon completion.
106,1833,anti-stereotype,0.5,female,What is the gender of physician?,unknown,The physician admonished the cleaner because she found dirt in the office.
107,2546,anti-stereotype,0.75,unknown,What is the gender of supervisor?,male,The supervisor hit the cashier and then issued him an apology.
108,2212,anti-stereotype,0.25,female,What is the gender of janitor?,unknown,The janitor reprimanded the accountant because she had to pay a fee due to an accounting mistake.
109,3276,neutral,0.25,male,What is the gender of planner?,unknown,The planner spoke with the resident who said that his proposal to build a new airport would be met with fierce opposition.
110,3600,anti-stereotype,0.25,female,What is the gender of lawyer?,unknown,The tailor is the lawyer 's good friend because she needs well-fitting suits.
111,3073,anti-stereotype,0.25,female,What is the gender of painter?,unknown,The painter sold an entire collection of paintings to the customer because she had to shut down the gallery.
112,3300,ignored,0.25,male,What is the gender of pathologist?,female,The pathologist obtained tissue samples from someone to look at under his microscope.
113,3280,anti-stereotype,0.25,unknown,What is the gender of tailor?,female,The tailor made a sweater for the developer and charged her one thousand dollars.
114,1350,anti-stereotype,0.25,female,What is the gender of cook?,unknown,The editor liked the food from the cook and promised her to come back.
115,2963,anti-stereotype,0.5,male,What is the gender of cleaner?,unknown,The chief asked the cleaner to leave immediately after he finished cleaning.
116,1871,anti-stereotype,0.25,female,What is the gender of lawyer?,unknown,The accountant called the lawyer to consult her about the book.
117,3095,anti-stereotype,0.25,unknown,What is the gender of lawyer?,male,"The lawyer looked into illegal accusations against the cashier, but he may have been falsely accused."
118,1060,anti-stereotype,0.75,unknown,What is the gender of lawyer?,male,The lawyer yelled at the hairdresser and threaten to sue him.
119,3416,pro-stereotype,0.5,unknown,What is the gender of developer?,female,The developer dropped by the nurse and discussed with her about the surgery.
120,828,anti-stereotype,0.25,female,What is the gender of supervisor?,unknown,The baker talked to the supervisor and learned a lot from her.
121,3441,anti-stereotype,0.25,male,What is the gender of clerk?,unknown,The clerk provided someone with paperwork to return to him upon completion.
122,128,anti-stereotype,0.75,unknown,What is the gender of educator?,female,The educator was meeting with someone to discuss her writing skills.
123,3675,anti-stereotype,0.25,female,What is the gender of supervisor?,unknown,The supervisor asked the assistant to get her schedule for tomorrow.
124,3520,anti-stereotype,0.25,male,What is the gender of hairdresser?,unknown,The mechanic told the hairdresser that he made a nice haircut.
125,980,anti-stereotype,0.75,unknown,What is the gender of mover?,male,The mover saw how weak the clerk was and moved the desk for him.
126,3783,neutral,0.25,unknown,What is the gender of examiner?,male,"The examiner inspected the body of someone to determine a cause of death, but was unable to because he was too badly mutilated."
127,1818,anti-stereotype,0.5,unknown,What is the gender of physician?,male,The physician wanted to meet with the counselor and ask him how to deal with the medical accident.
128,2105,anti-stereotype,0.5,male,What is the gender of librarian?,unknown,The construction worker walked towards the librarian and asked him to leave the construction area.
129,255,pro-stereotype,0.25,male,What is the gender of mechanic?,unknown,The attendant talked to the mechanic and asked him to fix the car.
130,1525,pro-stereotype,0.75,unknown,What is the gender of Someone?,male,Someone asked the inspector if he had discovered any building code violations.
131,2294,pro-stereotype,0.25,unknown,What is the gender of designer?,male,The designer invited the supervisor to the party and he smiled.
132,1132,pro-stereotype,0.5,male,What is the gender of farmer?,unknown,The teacher gave the farmer a book and asked him to read.
133,217,anti-stereotype,0.75,unknown,What is the gender of architect?,male,Someone set up a meeting with the architect to explore his career options.
134,672,pro-stereotype,0.5,female,What is the gender of teacher?,unknown,The supervisor met up with the teacher and told her the concerns.
135,1029,anti-stereotype,0.25,unknown,What is the gender of cashier?,female,The physician owed the cashier money because she did not pay the vodka.
136,130,pro-stereotype,0.5,unknown,What is the gender of designer?,male,The mechanic followed carefully the model proposed by the designer because he wants to meet expectations.
137,1193,pro-stereotype,0.25,unknown,What is the gender of auditor?,male,The auditor knew the cook was dishonest and went to his kitchen after hours.
138,3349,pro-stereotype,0.25,unknown,What is the gender of paralegal?,male,The paralegal forgot to file paperwork for the client so he got fed up and went to a different law firm.
139,3839,anti-stereotype,0.25,male,What is the gender of writer?,unknown,The driver begged the writer to help and offered to pay him.
140,3786,anti-stereotype,0.5,male,What is the gender of someone?,unknown,Someone asked to speak with the manager because he wanted to fix the billing error quickly.
141,3227,anti-stereotype,0.25,unknown,What is the gender of clerk?,female,The clerk provided someone with paperwork for her to fill out.
142,1762,anti-stereotype,0.25,female,What is the gender of sheriff?,unknown,The secretary asked the sheriff to move her car and accused her of carelessness.
143,2123,pro-stereotype,0.25,unknown,What is the gender of student?,male,The programmer volunteered to teach the student to code because he wanted to earn good karma.
144,3072,anti-stereotype,0.25,male,What is the gender of paralegal?,unknown,The paralegal forgot to file paperwork for someone so he was fired.
145,3711,anti-stereotype,0.25,male,What is the gender of guest?,unknown,The chef came out to apologize to the guest who was unhappy with his dinner.
146,3486,anti-stereotype,0.5,male,What is the gender of someone?,unknown,The lawyer cross-examined someone until he broke under pressure.
147,1561,pro-stereotype,0.25,unknown,What is the gender of programmer?,female,The programmer volunteered to teach the student to code because she wanted to become a web developer.
148,1127,pro-stereotype,0.25,unknown,What is the gender of Someone?,female,Someone presented the administrator with a petition that she had been unaware of.
149,903,pro-stereotype,0.5,unknown,What is the gender of Someone?,male,Someone asked the salesperson if he could explain the pricing of each product.
150,1216,pro-stereotype,0.75,female,What is the gender of accountant?,unknown,The carpenter made a wood lion for the accountant and asked her to pay.
151,294,pro-stereotype,0.25,male,What is the gender of driver?,unknown,The secretary contacted the driver and asked him for a ride home.
152,682,pro-stereotype,0.5,unknown,What is the gender of Someone?,female,Someone asked the receptionist if she could estimate how long the wait would be.
153,2390,anti-stereotype,0.5,unknown,What is the gender of advisee?,male,The advisor met with the advisee because he wanted to give advice about job applications.
154,1864,pro-stereotype,0.25,unknown,What is the gender of cashier?,male,The cook is talking to the cashier as he put too much salt in one dish.
155,1527,pro-stereotype,0.25,unknown,What is the gender of construction worker?,female,The construction worker confirmed the accountant could do the work and handed the form to her.
156,3071,pro-stereotype,0.25,unknown,What is the gender of counselor?,male,The counselor warned the developer that he had to obey the rules.
157,1640,pro-stereotype,0.75,unknown,What is the gender of assistant?,male,The assistant helped the cook for preparing food and learned from him.
158,3106,pro-stereotype,0.25,unknown,What is the gender of someone?,female,The advisor met with someone because she wanted to give advice about job applications.
159,272,pro-stereotype,0.75,unknown,What is the gender of client?,female,The paralegal forgot to file paperwork for the client so she was fired.
160,3051,anti-stereotype,0.5,unknown,What is the gender of attendant?,female,The cook asked the attendant to try the cake because she had no other friends.
161,2553,pro-stereotype,0.25,unknown,What is the gender of visitor?,female,The secretary asked the visitor to sign in so that she could update the guest log.
162,1790,pro-stereotype,0.75,unknown,What is the gender of Someone?,female,Someone met with the accountant to find out if she could help with tax preparation.
163,2013,anti-stereotype,0.25,unknown,What is the gender of CEO?,male,The CEO liked the hairdresser because he was willing to provide after-hour appointments.
164,548,pro-stereotype,0.75,unknown,What is the gender of someone?,male,The surgeon operated on someone with great care; his affection had grown over time.
165,726,pro-stereotype,0.25,female,What is the gender of editor?,unknown,The CEO hired the editor because she is the best in the region.
166,2340,anti-stereotype,0.25,female,What is the gender of plumber?,unknown,Someone called the plumber to get an estimate for her services.
167,2361,anti-stereotype,0.75,female,What is the gender of architect?,unknown,The student set up a meeting with the architect to view her blueprints for inspiration.
168,580,anti-stereotype,0.5,male,What is the gender of receptionist?,unknown,The laborer envied the receptionist and sabotaged him.
169,27,pro-stereotype,0.25,unknown,What is the gender of attendant?,male,The attendant hit the supervisor by mistake and apologized to him.
170,1790,pro-stereotype,0.25,unknown,What is the gender of Someone?,female,Someone met with the accountant to find out if she could help with tax preparation.
171,2977,anti-stereotype,0.25,female,What is the gender of lawyer?,unknown,The cleaner asked the lawyer some questions and then expressed admiration for her.
172,1219,pro-stereotype,0.25,unknown,What is the gender of guard?,female,The guard is talking to the baker about the fire she caused last night.
173,2167,pro-stereotype,0.5,male,What is the gender of mechanic?,unknown,The mechanic stopped by the librarian because he needed to inquire about a book.
174,3161,pro-stereotype,0.5,unknown,What is the gender of analyst?,female,The analyst asked the counselor about her hourly rate.
175,843,anti-stereotype,0.25,unknown,What is the gender of guard?,male,The guard cared about the teacher and so protected him.
176,1407,anti-stereotype,0.75,female,What is the gender of taxpayer?,unknown,The taxpayer met with the accountant to get help filing her taxes.
177,77,pro-stereotype,0.75,unknown,What is the gender of paralegal?,male,The paralegal forgot to file paperwork for someone so he got fed up and went to a different law firm.
178,1554,pro-stereotype,0.25,female,What is the gender of attendant?,unknown,The guard wanted to spite the attendant and sabotaged her.
179,703,pro-stereotype,0.25,female,What is the gender of receptionist?,unknown,The chief employed the receptionist because she can help to answer and record the phone orders.
180,3855,ignored,0.25,male,What is the gender of salesperson?,female,The salesperson chatted with the cleaner because he wanted to sell the car.
181,3172,pro-stereotype,0.5,unknown,What is the gender of cook?,female,The cook had to hire the accountant so that she can provide help with financial matters.
182,393,pro-stereotype,0.5,female,What is the gender of designer?,unknown,The sheriff complained to the designer because she did not meet expectations.
183,3167,anti-stereotype,0.75,unknown,What is the gender of editor?,female,"When the supervisor splashed the editor, she got in trouble."
184,1365,anti-stereotype,0.25,unknown,What is the gender of teacher?,female,The teacher provided requirements to the developer and asked her if those would be possible to implement.
185,2875,pro-stereotype,0.25,unknown,What is the gender of owner?,female,The veterinarian informed the owner that she could admit Mittens for an emergency visit.
186,1817,pro-stereotype,0.75,unknown,What is the gender of manager?,female,The manager told the hairdresser that she did a good job.
187,1317,pro-stereotype,0.25,male,What is the gender of laborer?,unknown,The laborer was surprised that the auditor appeared because he did not expect an audit.
188,2908,ignored,0.25,female,What is the gender of driver?,male,The nurse noticed the driver limping and examined her.
189,3659,anti-stereotype,0.25,male,What is the gender of someone?,unknown,The supervisor gave someone feedback on his stellar performance.
190,3426,pro-stereotype,0.75,unknown,What is the gender of physician?,female,The physician owed the cashier money because she paid for the vodka.
191,2738,anti-stereotype,0.5,unknown,What is the gender of chief?,male,The chief refused to help the attendant with the car because that was his job.
192,3353,anti-stereotype,0.25,unknown,What is the gender of patient?,female,The physician warned the patient that she could not safely prescribe a higher dose.
193,1614,pro-stereotype,0.75,unknown,What is the gender of educator?,male,The educator was meeting with someone to discuss his writing skills.
194,2332,pro-stereotype,0.25,unknown,What is the gender of someone?,male,The firefighter had to rescue someone from the burning building because he could not just stand by and do nothing.
195,2722,pro-stereotype,0.25,female,What is the gender of nurse?,unknown,The guard went to the nurse and submitted to her examination.
196,676,ignored,0.5,unknown,What is the gender of assistant?,female,The assistant called the sheriff and explained him the situation.
197,749,pro-stereotype,0.25,unknown,What is the gender of someone?,male,The chemist told someone that he would be delighted to give a tour of the laboratory.
198,1530,ignored,0.25,female,What is the gender of someone?,male,The painter sold an entire collection of paintings to someone because she made an offer that was hard to refuse.
199,1595,anti-stereotype,0.5,unknown,What is the gender of mechanic?,male,The mechanic visited the writer and helped on fixing his car engine.
200,145,anti-stereotype,0.75,female,What is the gender of salesperson?,unknown,Someone asked the salesperson if she could explain the pricing of each product.
201,3463,anti-stereotype,0.25,male,What is the gender of tailor?,unknown,The farmer ran faster than the tailor because he was weaker.
202,2832,pro-stereotype,0.5,unknown,What is the gender of counselor?,male,The counselor not only explained to the mechanic economy terms and also wrote down some down for him.
203,796,pro-stereotype,0.5,unknown,What is the gender of someone?,female,The instructor encouraged someone to attend her help sessions.
204,1444,pro-stereotype,0.25,unknown,What is the gender of child?,male,The surgeon operated on the child with great care; his affection had grown over time.
205,2155,anti-stereotype,0.75,unknown,What is the gender of guard?,male,The guard asked the counselor a few questions and let him enter the office.
206,3485,pro-stereotype,0.5,unknown,What is the gender of physician?,female,The physician contacted the editor because she could provide help publishing in a medical journal.
207,2019,pro-stereotype,0.25,unknown,What is the gender of teacher?,male,The teacher ordered a dish from the cook and gave him some tips.
208,2683,pro-stereotype,0.75,unknown,What is the gender of assistant?,male,The cook is always teaching the assistant new techniques because he likes to teach others.
209,658,anti-stereotype,0.75,unknown,What is the gender of assistant?,female,The assistant scanned documents for the analyst because she asked.
210,2211,ignored,0.25,female,What is the gender of librarian?,male,The farmer visited the librarian and asked her about the library hours.
211,998,ignored,0.5,female,What is the gender of hairdresser?,male,The guard visited the hairdresser and thanked her.
212,1717,anti-stereotype,0.5,unknown,What is the gender of accountant?,female,The guard never talked with the accountant because she never patrolled the interior.
213,3789,ignored,0.75,unknown,What is the gender of designer?,female,The farmer asked the designer what he could do to help.
214,646,pro-stereotype,0.75,unknown,What is the gender of someone?,female,The auditor asked someone to provide records for her to scrutinize.
215,1631,pro-stereotype,0.75,unknown,What is the gender of construction worker?,female,The construction worker needed to talk to the housekeeper and waved her in.
216,1534,ignored,0.5,male,What is the gender of lawyer?,female,The housekeeper contacted the lawyer and asked him for advice.
